warning • 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss • apps/app-agrihurbi/lib/core/extensions/color_extensions.dart:7:41 • deprecated_member_use
warning • The name WidgetRef is shown, but isn't used • apps/app-agrihurbi/lib/core/providers/support_providers.dart:12:48 • unused_shown_name
warning • The declaration '_showLogoutConfirmation' isn't referenced • apps/app-agrihurbi/lib/features/auth/presentation/pages/profile_page.dart:353:8 • unused_element
warning • The name WidgetRef is shown, but isn't used • apps/app-agrihurbi/lib/features/subscription/presentation/providers/subscription_provider.dart:2:48 • unused_shown_name
warning • The name Provider is shown, but isn't used • apps/app-agrihurbi/lib/features/subscription/presentation/providers/subscription_provider.dart:2:59 • unused_shown_name
warning • The name StateNotifier is shown, but isn't used • apps/app-gasometer/lib/core/services/financial_sync_service_provider.dart:2:10 • unused_shown_name
warning • The name StateNotifierProvider is shown, but isn't used • apps/app-gasometer/lib/core/services/financial_sync_service_provider.dart:2:25 • unused_shown_name
warning • The name WidgetRef is shown, but isn't used • apps/app-gasometer/lib/core/services/financial_sync_service_provider.dart:2:48 • unused_shown_name
warning • The type argument(s) of the function 'showDialog' can't be inferred • apps/app-gasometer/lib/core/widgets/custom_dropdown.dart:352:5 • inference_failure_on_function_invocation
warning • This default clause is covered by the previous cases • apps/app-gasometer/lib/core/widgets/enhanced_error_widget.dart:498:7 • unreachable_switch_default
warning • The value of the local variable 'theme' isn't used • apps/app-gasometer/lib/core/widgets/unified_loading_states.dart:634:1 • library_private_types_in_public_api
warning • The value of the local variable 'theme' isn't used • apps/app-gasometer/lib/core/widgets/unified_loading_states.dart:642:1 • library_private_types_in_public_api
warning • The value of the local variable 'theme' isn't used • apps/app-gasometer/lib/core/widgets/unified_loading_states.dart:650:1 • library_private_types_in_public_api
warning • The value of the local variable 'theme' isn't used • apps/app-gasometer/lib/core/widgets/unified_loading_states.dart:658:1 • library_private_types_in_public_api
warning • The value of the local variable 'theme' isn't used • apps/app-gasometer/lib/core/widgets/unified_loading_states.dart:666:1 • library_private_types_in_public_api
warning • The value of the local variable 'theme' isn't used • apps/app-gasometer/lib/core/widgets/unified_loading_states.dart:674:1 • library_private_types_in_public_api
warning • The value of the local variable 'theme' isn't used • apps/app-gasometer/lib/core/widgets/unified_loading_states.dart:682:1 • library_private_types_in_public_api
warning • The value of the local variable 'theme' isn't used • apps/app-gasometer/lib/core/widgets/unified_loading_states.dart:690:1 • library_private_types_in_public_api
warning • The value of the local variable 'theme' isn't used • apps/app-gasometer/lib/core/widgets/unified_loading_states.dart:698:1 • library_private_types_in_public_api
warning • The value of the local variable 'theme' isn't used • apps/app-gasometer/lib/core/widgets/unified_loading_states.dart:706:1 • library_private_types_in_public_api
warning • The value of the local variable 'theme' isn't used • apps/app-gasometer/lib/core/widgets/unified_loading_states.dart:714:1 • library_private_types_in_public_api
warning • The value of the local variable 'theme' isn't used • apps/app-gasometer/lib/core/widgets/unified_loading_states.dart:722:1 • library_private_types_in_public_api
warning • The value of the local variable 'theme' isn't used • apps/app-gasometer/lib/core/widgets/unified_loading_states.dart:730:1 • library_private_types_in_public_api
warning • The value of the local variable 'theme' isn't used • apps/app-gasometer/lib/core/widgets/unified_loading_states.dart:738:1 • library_private_types_in_public_api
warning • The value of the local variable 'theme' isn't used • apps/app-gasometer/lib/core/widgets/unified_loading_states.dart:746:1 • library_private_types_in_public_api
warning • The value of the local variable 'theme' isn't used • apps/app-gasometer/lib/core/widgets/unified_loading_states.dart:754:1 • library_private_types_in_public_api
warning • The value of the local variable 'theme' isn't used • apps/app-gasometer/lib/core/widgets/unified_loading_states.dart:762:1 • library_private_types_in_public_api
warning • The value of the local variable 'theme' isn't used • apps/app-gasometer/lib/core/widgets/unified_loading_states.dart:770:1 • library_private_types_in_public_api
warning • The value of the local variable 'theme' isn't used • apps/app-gasometer/lib/core/widgets/unified_loading_states.dart:778:1 • library_private_types_in_public_api
warning • The value of the local variable 'theme' isn't used • apps/app-gasometer/lib/core/widgets/unified_loading_states.dart:786:1 • library_private_types_in_public_api
warning • The value of the local variable 'theme' isn't used • apps/app-gasometer/lib/core/widgets/unified_loading_states.dart:794:1 • library_private_types_in_public_api
warning • The value of the local variable 'theme' isn't used • apps/app-
